	coverage	Sample	totalbp	genome_number	ags	acn
59	1282.44	19461	6464917316	923.485971082337	7.00055823092043	1.38869462033837
60	1204.38	19463	5749098542	838.82454532659	6.85375573954101	1.43579489502311
61	726.85	19465	3922939825	568.358302466756	6.90223017412411	1.2788587706828
62	718.451	19467	3961861579	551.40391790726	7.18504430297926	1.30294866733398
63	986.259	19475	5597739808	807.93380868194	6.92846338134077	1.22071757537784
64	878.671	19477	4821414534	692.041771155113	6.96694149827458	1.26967913877999
65	688.39	19479	3842281357	531.097314297827	7.23460890040453	1.29616546999514
66	743.863	19481	4108888288	583.933174477556	7.03657279221413	1.2738837807349
67	678.392	19483	3984438309	553.558264324673	7.19786617920141	1.22551146594771
68	990.871	19485	5265790698	723.696264510464	7.27624413200749	1.36918075799419
69	1252.2	19487	6062708268	903.470809506049	6.71046391782667	1.38598833169232
70	845.543	19489	3674012185	571.529120610616	6.42839017734515	1.47943992616969
71	930.19	19491	4389933297	688.933579669028	6.3720704383563	1.35018821472873
72	785.042	19493	3920503118	584.427708973723	6.70827727330819	1.34326622086171
73	1226.07	19495	4812666316	779.483893062902	6.17417031811796	1.57292538166797
74	1252.97	19497	6576900880	939.235609697002	7.00239728146776	1.33403161790704
75	795.161	19499	4537342814	598.141034505717	7.5857407404752	1.32938714137393
76	646.3	19501	3610049835	498.642347356155	7.23975782269757	1.29611935975101
77	857.308	19503	4615419950	647.875695246704	7.12392822243857	1.32326001158841
78	743.144	19505	4361465393	587.752449768456	7.42058224464771	1.26438265003023
79	836.702	19507	4333710041	678.203049658069	6.38998902052259	1.2337042725211
80	1450.04	19511	6281721250	894.80088931595	7.02024475501159	1.62051694104653
81	678.117	19515	3617810614	519.947707398247	6.95802782188054	1.30420230794595
82	753.938	19517	4267947703	583.274318291584	7.31722204999675	1.29259591303161
83	1185.4	7031	4802870028	778.940512454937	6.16590092722627	1.52181069163299
84	2557.61	7035	10980472439	1917.99595443313	5.72497163699458	1.33348039347451
85	3203.47	7039	9655218904	1792.38300262455	5.38680566032039	1.78726867823965
86	1240.12	7041	4870009301	816.047597642371	5.96780054873008	1.51966625915303
87	1425.19	7043	5660109535	982.074103078104	5.76342408099305	1.45120413575009
88	1901.82	7067	9398808061	1448.33160787291	6.48940340037428	1.31311088542292
89	2118.76	7069	9548533119	1562.33640746002	6.11170108653079	1.35614838768597
90	2635.37	7075	10658811150	1893.4274416917	5.6293739677063	1.39185159249905
91	2464.15	7077	9495981034	1514.62049228717	6.26954480172158	1.62690919114595
92	1801.63	7083	8938069132	1387.38083127383	6.44240494788549	1.29858360400282
93	1595.59	7085	7638523137	1186.21543145044	6.43940631227499	1.34510979852032
94	2390.54	7091	10491427147	1789.3837773212	5.86315092378126	1.33595712127153
95	2694.9	7093	11681429159	1900.87547507464	6.14528900613088	1.41771517142341
96	823.599	7826	4048845084	563.399613767078	7.18645342499984	1.46183806285053
97	994.742	7827	5095214982	749.02863330115	6.80243018153279	1.3280426885898
98	738.201	7829	4000873778	565.727430976483	7.0720872966938	1.30487043685652
99	1089.47	7831	5927550281	887.548702370518	6.67856340183738	1.22750447056052
100	1006.89	7833	4587367525	676.372481374459	6.78230952814342	1.48866198393213
101	869.842	7835	4295432562	695.496899861053	6.17606284493597	1.25067703418057
102	744.602	7837	4111267063	595.198950250817	6.90738292005977	1.25101363113329
103	524.877	7839	3222263987	445.77735133452	7.22841565941728	1.17744205359173
104	761.53	7841	3885169632	570.767874413536	6.8069171482225	1.33422015172538
105	1051.39	7843	5959182830	905.232906346941	6.58303823051266	1.1614579989617
106	577.656	7845	2872982552	445.957167169515	6.44228361713478	1.29531722444641
107	1062.88	7847	5190300383	789.962788598221	6.57030996638477	1.34548109776926
108	836.259	7849	3664733873	551.228529859962	6.64830224576912	1.51708221672135
109	1686.28	7851	6332252887	1075.02200983075	5.89034720135351	1.56860044220442
110	1333.9	7853	5471672101	888.50502401194	6.1582905590036	1.50128582726177
111	784.148	7855	4434616636	679.209880762359	6.5290814542075	1.15450028365291
112	901.853	7857	3761223391	604.665433714345	6.22033802708965	1.49149091334705
113	865.761	7882	4692550887	674.143221948578	6.96076254158042	1.2842389744683
114	1096.3	7886	5106146658	847.602530228902	6.02422300063338	1.29341284493799
115	958.454	7888	4832479189	835.81888809375	5.7817300587947	1.14672450413982
116	1054.39	7892	4523855799	784.919424283747	5.76346521571701	1.34330985752092
117	1030.67	7894	4390353861	726.27464541337	6.04503253517981	1.41911879549833
118	880.051	7896	3473673549	582.962302267042	5.95865896558229	1.50961905525903
119	1824.34	7898	7037611049	1286.47552127484	5.47045857664362	1.41809149869572
120	1120.51	7900	4319276857	745.259172734712	5.79567084179657	1.50351722057753
121	1372.18	7904	5788936273	992.338640006874	5.83362981104908	1.38277392885809
122	1215.51	7910	4570254869	800.491902002568	5.7093080611643	1.51845383689603
123	1404.44	7912	5267680578	935.421524751884	5.63134420003562	1.50139799313739
124	949.858	7916	3709884546	624.703082117572	5.93863653341442	1.52049513951531
125	842.771	7918	3813012103	596.71220220454	6.39003541223543	1.41235757687944
126	1003.42	8076	4768657419	736.507822116603	6.4746867253842	1.36240236677505
127	1029.26	8078	4626042748	753.757800931546	6.13730662857859	1.36550493902414
128	928.122	8084	4076408939	650.754150691898	6.26413052404792	1.42622524806518
129	897.154	8088	4076653527	727.514641964256	5.60353468074982	1.23317655515183
130	1009.7	8108	3938479416	654.330839811432	6.01909489263109	1.54310318048127
131	1239	8114	5213491586	873.973844617645	5.9652718649502	1.41766256236427
132	1015.8	8124	4591563530	739.260163126606	6.21102523715139	1.37407647627569
133	1011.41	8128	4603572354	762.305851217966	6.03900960047032	1.32677717006111
134	842.383	8130	3682648724	613.181450774711	6.00580581709906	1.3737907416079
135	1203.33	8132	4431830985	728.435627878364	6.08403929652386	1.65193732149649
136	1095.64	8134	3759286024	612.304534966315	6.13956913483715	1.78937103586906
137	622.931	8142	3436409596	484.325642094347	7.09524604383962	1.28618215898355
138	914.456	8144	5396874798	759.222995372921	7.10841851589219	1.20446299120699
139	778.076	8146	4567904339	654.7979552207	6.97605162413861	1.18826882979155
140	1009.75	8148	5652431597	790.22567401873	7.15293337440467	1.27779953651071
141	1210.3	8150	5484269132	858.751757756135	6.38632652855356	1.40937120543711
142	894.77	8152	5214042706	756.44647818908	6.89281113249722	1.18285962827412
143	883.075	8162	4092883187	657.412203899499	6.22574872009174	1.34325921356793
144	1973.89	8164	7456301807	1271.52632649842	5.86405617533177	1.55237839662807
